,Applepredicted_closing_price
0,24.703854
1,24.243235
2,24.387045
3,24.377022
4,24.246967
5,24.125942
6,24.16
7,24.641394
8,24.944994
9,24.638144
10,24.588585
11,24.73929
12,24.358242
13,24.597908
14,24.723734
15,24.76779
16,24.731953
17,25.441694
18,25.535677
19,25.71594
20,26.02232
21,25.857462
22,25.720493
23,25.73679
24,25.756424
25,25.967672
26,26.0329
27,26.430246
28,26.723356
29,26.735434
30,26.780352
31,26.796755
32,26.968014
33,26.883135
34,26.806463
35,26.713575
36,27.176044
37,27.561998
38,27.502266
39,27.703642
40,27.938057
41,27.73293
42,27.956976
43,27.520298
44,27.531168
45,27.586048
46,27.86213
47,28.182625
48,28.224663
49,27.817728
50,27.350576
51,27.20192
52,27.220837
53,26.99463
54,26.90963
55,26.767204
56,26.606192
57,25.369947
58,24.704012
59,24.396486
60,24.309797
61,24.534916
62,24.321045
63,24.102089
64,23.959682
65,23.94114
66,24.038593
67,23.865784
68,23.44911
69,23.435934
70,24.029423
71,23.989504
72,24.192358
73,24.13546
74,24.331991
75,24.576208
76,24.880663
77,25.237617
78,25.431263
79,25.4625
80,25.399845
81,25.157791
82,25.017885
83,25.046041
84,25.177202
85,25.258076
86,25.246721
87,25.37772
88,25.237047
89,24.96047
90,24.95968
91,24.893055
92,24.961222
93,24.548832
94,24.470947
95,24.594118
96,24.52794
97,24.618603
98,24.119244
99,23.831194
100,24.072485
101,24.22278
102,24.449612
103,24.512339
104,24.356152
105,24.44999
106,24.53425
107,24.68581
108,24.757746
109,24.852495
110,24.765703
111,25.123768
112,25.151543
113,25.367674
114,25.397717
115,25.43423
116,25.350039
117,25.2129
118,24.963844
119,24.820784
120,25.965595
121,26.293573
122,26.333958
123,26.694836
124,26.450111
125,26.71873
126,26.764103
127,27.098083
128,27.300756
129,27.421799
130,27.296852
131,27.292753
132,27.348043
133,27.607903
134,27.61575
135,27.600458
136,27.576853
137,27.634462
138,27.48429
139,27.543152
140,27.388895
141,27.295033
142,27.162064
143,27.1243
144,26.958794
145,26.958048
146,27.062613
147,27.251698
148,27.257647
149,27.385916
150,26.864292
151,26.389269
152,26.766165
153,27.24777
154,28.008873
155,28.789093
156,28.75072
157,28.544584
158,28.551817
159,28.575062
160,28.805248
161,28.47172
162,28.494131
163,28.523554
164,28.695496
165,28.373232
166,28.519596
167,28.41546
168,28.508152
169,28.516912
170,28.68002
171,28.722982
172,29.112425
173,29.190994
174,29.417833
175,29.373877
176,29.516552
177,29.519995
178,29.523256
179,29.464119
180,29.455315
181,29.36916
182,29.565601
183,29.690933
184,29.202961
185,28.959986
186,28.777784
187,28.723923
188,28.318363
189,28.292326
190,27.928778
191,27.703304
192,27.951988
193,28.070616
194,28.04115
195,27.44928
196,27.517416
197,26.989279
198,27.211634
199,27.736519
200,27.763279
201,27.794277
202,28.106314
203,28.150646
204,28.06932
205,28.178032
206,28.15082
207,28.141268
208,27.965965
209,27.762112
210,27.818233
211,27.665222
212,27.810421
213,28.011116
214,28.233107
215,28.600164
216,28.512995
217,28.888014
218,28.920168
219,29.07433
220,29.124954
221,29.275946
222,29.358541
223,29.402119
224,29.270168
225,29.314144
226,29.459442
227,29.382517
228,29.379284
229,29.203114
230,29.25635
231,29.229048
232,29.342403
233,29.594183
234,29.822126
235,29.872225
236,30.010967
237,29.934301
238,29.90567
239,30.09206
240,30.110409
241,30.084791
242,30.127048
243,30.148392
244,30.135046
245,30.503836
246,30.542707
247,30.567965
248,30.510588
249,30.461845
250,31.896332
251,31.949402
252,32.142925
253,32.38746
254,32.68442
255,32.842976
256,32.9635
257,32.93771
258,33.187813
259,33.5573
260,33.70501
261,33.7104
262,33.798107
263,34.010136
264,34.123943
265,34.038387
266,34.0701
267,34.128593
268,34.155983
269,34.7186
270,34.59559
271,34.785442
272,34.701046
273,34.755768
274,34.658455
275,34.600983
276,34.686115
277,34.704815
278,34.670574
279,34.95796
280,35.02113
281,34.905323
282,35.1895
283,34.885906
284,35.202015
285,35.10544
286,35.071255
287,35.106575
288,35.692398
289,35.798607
290,35.803318
291,35.749584
292,35.76417
293,35.987053
294,35.862198
295,35.799454
296,35.723503
297,35.687923
298,35.37867
299,35.389626
300,35.222576
301,35.36795
302,35.23612
303,35.12897
304,35.454964
305,35.436195
306,35.725143
307,35.91204
308,35.7754
309,35.798756
310,35.769005
311,36.36417
312,36.59035
313,36.55421
314,36.452385
315,36.937954
316,37.793777
317,38.084675
318,38.007713
319,38.15736
320,38.616245
321,38.598595
322,38.594234
323,37.545486
324,37.949192
325,38.028816
326,38.27211
327,38.233566
328,38.146145
329,38.240074
330,38.193436
331,38.213974
332,38.027905
333,38.104362
334,38.5572
335,38.286224
336,38.399746
337,38.5663
338,38.51937
339,37.31983
340,36.52184
341,36.631817
342,36.33034
343,36.13499
344,35.66932
345,36.418457
