,BPpredicted_closing_price
0,29.239212
1,29.772493
2,30.386513
3,30.470463
4,29.999393
5,29.0824
6,28.191118
7,27.738379
8,28.962482
9,28.967955
10,29.979017
11,29.679329
12,29.805952
13,30.206453
14,29.035883
15,28.684189
16,28.622955
17,28.979086
18,29.065296
19,29.611017
20,30.119175
21,30.790466
22,31.054836
23,31.442186
24,30.086666
25,30.39341
26,29.745058
27,30.585625
28,29.880945
29,29.779306
30,30.434374
31,31.425148
32,31.260555
33,31.17471
34,30.915997
35,30.248547
36,30.44829
37,30.373556
38,30.386929
39,30.902422
40,30.182207
41,29.71229
42,29.592764
43,28.98727
44,29.349062
45,29.108894
46,30.152452
47,30.194239
48,31.198328
49,31.23683
50,30.957293
51,30.655502
52,31.021814
53,31.654701
54,31.791353
55,31.740269
56,32.108784
57,31.734528
58,33.45216
59,33.55392
60,33.53142
61,33.501816
62,33.54548
63,32.552414
64,31.57181
65,31.607533
66,31.546097
67,31.1562
68,31.716034
69,31.617323
70,31.908508
71,31.46019
72,32.09225
73,32.114117
74,32.16018
75,31.96877
76,31.941996
77,31.471853
78,31.865023
79,32.74685
80,32.526627
81,32.42398
82,31.431528
83,31.426785
84,31.461782
85,31.87611
86,32.46917
87,32.9979
88,33.203575
89,33.009098
90,32.251114
91,31.918463
92,30.977638
93,31.226395
94,31.938507
95,32.683174
96,33.34618
97,34.046562
98,33.780186
99,34.58659
100,32.86241
101,32.231327
102,33.108746
103,34.59046
104,35.3091
105,35.873013
106,35.712753
107,35.47189
108,35.272118
109,35.770233
110,35.88677
111,36.74754
112,36.280285
113,36.495144
114,36.311954
115,36.053345
116,35.901943
117,35.827496
118,35.719193
119,35.759686
120,34.831383
121,34.64343
122,34.478313
123,33.99238
124,34.400787
125,33.151455
126,33.59346
127,32.910507
128,33.114628
129,33.088562
130,33.19219
131,33.35377
132,33.00612
133,33.64341
134,33.614677
135,33.87261
136,34.11455
137,34.130486
138,34.578304
139,34.21603
140,33.97935
141,34.06527
142,34.186054
143,34.162037
144,34.120907
145,34.186962
146,34.044167
147,33.84471
148,33.643715
149,34.43811
150,34.52541
151,34.732788
152,34.96364
153,34.281403
154,34.63413
155,33.411564
156,33.451694
157,33.496197
158,33.316196
159,33.4491
160,33.054
161,33.626034
162,34.120895
163,33.911488
164,33.69937
165,33.577457
166,34.747555
167,34.834373
168,35.13279
169,35.313175
170,35.544834
171,35.86185
172,35.779617
173,36.041172
174,36.44874
175,35.615574
176,35.775486
177,35.47679
178,35.764343
179,35.344456
180,35.923355
181,35.82302
182,35.97452
183,36.076603
184,35.743504
185,35.94764
186,35.678684
187,35.91716
188,35.52215
189,35.50946
190,34.075253
191,34.127285
192,33.72773
193,33.60056
194,33.985493
195,33.449734
196,33.897457
197,33.83
198,33.233665
199,33.03581
200,33.55565
201,33.234814
202,33.544975
203,33.55498
204,34.35545
205,34.383595
206,34.38415
207,34.200695
208,33.702587
209,33.52641
210,34.900208
211,35.131954
212,35.44164
213,35.330795
214,35.471577
215,35.718395
216,36.01568
217,35.84478
218,36.37781
219,36.524456
220,35.894306
221,35.791664
222,36.38503
223,36.321453
224,36.40822
225,36.582115
226,36.706684
227,36.819202
228,36.899353
229,37.03317
230,37.163918
231,37.146973
232,37.751373
233,37.92322
234,38.279434
235,37.58536
236,37.18292
237,36.888382
238,37.33094
239,37.450115
240,37.44693
241,37.222603
242,36.92354
243,36.732243
244,36.66451
245,36.456413
246,36.7584
247,36.79925
248,36.59141
249,36.445793
250,35.83992
251,35.91628
252,35.821415
253,35.707104
254,35.81509
255,35.694134
256,34.38637
257,34.51098
258,34.30145
259,34.531208
260,34.579197
261,34.550453
262,33.802105
263,33.737247
264,33.375404
265,33.838203
266,33.344948
267,33.910892
268,33.39928
269,34.02773
270,33.781548
271,34.24495
272,34.00209
273,34.09647
274,33.895325
275,33.856907
276,33.292145
277,33.52426
278,34.208355
279,33.978737
280,33.48859
281,33.762768
282,33.91003
283,34.22876
284,34.11389
285,34.214565
286,33.924187
287,34.044373
288,33.714283
289,33.758423
290,33.85125
291,34.363174
292,34.408894
293,34.482956
294,34.327675
295,34.724762
296,34.46514
297,34.706707
298,34.720833
299,35.01364
300,35.231636
301,35.335716
302,34.90425
303,34.989094
304,34.561207
305,34.155815
306,34.119694
307,33.950607
308,34.416103
309,34.543285
310,34.619793
311,34.34595
312,34.298832
313,34.25093
314,34.679577
315,34.575203
316,34.312477
317,35.21601
318,35.20778
319,35.31245
320,34.902287
321,35.157978
322,35.22469
323,35.60389
324,36.05555
325,35.996403
326,36.377644
327,36.69184
328,36.74711
329,36.739555
330,36.70051
331,36.23324
332,36.29598
333,36.079075
334,36.044846
335,36.08904
336,35.785522
337,35.9896
338,36.05886
339,35.3401
340,35.3989
341,35.65935
342,35.681232
343,35.924477
344,35.25406
345,35.242996
346,35.827053
347,35.852455
348,34.95359
349,34.686924
350,34.508904
351,34.78206
352,34.78185
353,35.096317
354,35.149708
355,34.808895
356,34.625755
357,34.931595
358,34.332443
359,34.47246
360,34.25701
361,34.320984
362,34.291985
363,34.807068
364,34.599007
365,34.92809
366,34.78609
367,34.79153
368,34.928608
369,34.996506
370,34.61607
371,34.446423
372,34.809875
373,34.720924
374,34.947174
375,35.038563
376,35.05716
377,36.131603
378,36.116814
379,36.06658
380,36.160484
381,36.54734
382,36.32269
383,36.059643
384,35.37247
385,34.922417
386,34.624287
387,34.529285
388,34.258266
389,34.10672
390,34.133114
391,33.971626
392,34.138203
393,34.174934
394,34.15195
395,34.484573
396,34.37761
397,34.350147
398,34.306435
399,34.658043
400,34.655937
401,34.89133
402,35.189503
403,35.370857
404,35.213257
405,35.46809
406,35.58077
407,35.857483
408,36.148167
409,36.39274
410,36.45906
411,36.75865
412,36.97922
413,37.44859
414,37.512016
415,37.97435
416,37.529793
417,37.824657
418,38.03773
419,38.11453
420,38.081547
421,38.378677
422,38.27426
423,38.3157
424,37.937412
425,38.201298
426,38.41593
427,38.50493
428,38.658665
429,38.718056
430,38.815376
431,38.331528
432,38.45004
433,38.35952
434,38.44067
435,38.436905
436,38.65928
437,38.41816
438,38.368824
439,38.732056
440,39.174473
441,40.160442
442,40.109585
443,40.19728
444,39.982178
445,40.84015
446,40.685795
447,40.841663
448,40.079243
449,39.883324
450,39.362644
451,39.232277
452,38.686737
453,38.496307
454,38.727047
455,38.617023
456,38.813366
457,39.3463
458,39.551723
459,39.09654
460,39.531048
461,39.17168
462,39.69658
463,39.382343
464,39.539406
465,39.2344
466,39.20855
467,38.886494
468,39.27053
469,39.415443
470,40.177906
471,40.017334
472,40.171207
473,39.71745
474,40.36784
475,39.95673
476,40.495956
477,40.93037
478,40.63085
479,41.099724
480,40.93634
481,41.23198
482,41.244003
483,41.6427
484,41.984642
485,42.149303
486,42.20417
487,42.180218
488,41.99294
489,42.05246
490,42.341557
491,42.89133
492,41.511406
493,42.276962
494,41.797153
495,41.730602
496,42.47635
497,42.208145
498,43.06582
499,42.56239
500,42.95002
501,42.26062
502,42.05645
503,41.898518
504,42.473225
505,40.348434
506,39.629715
507,39.976955
508,39.444794
509,39.245945
510,38.73386
511,39.526783
512,39.13616
513,40.036724
514,39.22703
515,39.378517
516,39.013954
517,38.546726
518,38.911476
519,39.59398
520,39.759136
521,39.0956
522,38.586323
523,38.59337
524,38.329506
525,38.84626
526,39.07666
527,38.93545
528,39.095947
529,39.208225
530,39.4099
531,39.10273
532,38.554085
533,38.71045
534,39.029934
535,38.374855
536,38.79599
537,39.598846
538,38.568565
539,38.94116
540,39.831005
541,39.41201
542,39.285435
543,40.02564
544,39.318645
545,40.349693
546,40.2506
547,41.37357
548,40.876896
549,41.134357
550,41.912754
551,42.102135
552,42.19889
553,42.06133
554,41.879925
555,41.81901
556,42.613556
557,42.567272
558,42.599224
559,42.88427
560,43.1301
561,43.06571
562,43.72355
563,42.963825
564,43.625385
565,43.43547
566,43.604294
567,43.489517
568,44.121223
569,44.23422
570,44.033787
571,45.343773
572,44.14494
573,44.71958
574,44.698944
575,45.281727
576,44.99625
577,45.629787
578,45.506485
579,46.063946
580,45.216743
581,45.0295
582,44.22992
583,43.237465
584,43.46853
585,44.322132
586,44.342827
587,44.5906
588,44.49087
589,44.858105
590,44.705547
591,45.645554
592,45.180058
593,45.599625
594,44.429066
595,44.770622
596,44.765846
597,43.799923
598,44.195873
599,43.718185
600,43.658443
601,42.999657
602,44.63446
603,42.718994
604,44.169712
605,43.75382
606,44.547382
607,44.109146
608,44.030033
609,44.49934
610,44.49208
611,44.54775
612,45.07549
613,45.343567
614,43.71145
615,44.31124
616,43.80631
617,43.54085
618,43.270245
619,43.16574
620,43.322247
621,43.37755
622,43.14646
623,43.708733
624,43.714016
625,43.397144
626,43.40455
627,43.245377
628,43.920967
629,43.220627
630,42.87056
631,42.915775
632,43.03895
633,43.580338
634,43.392155
635,42.559803
636,42.170017
637,41.81168
638,41.813316
639,40.795475
640,41.195038
641,41.08195
642,41.70775
643,41.58596
644,42.2285
645,41.964546
646,42.60665
647,42.755093
648,42.328716
649,42.514584
650,42.544952
651,41.982677
652,41.94862
653,41.891785
654,41.429802
655,41.350254
656,41.33116
657,41.87252
658,42.179977
659,42.508316
660,42.302685
661,42.37271
662,42.573963
663,42.94348
664,43.427746
665,43.461964
666,44.01989
667,44.82935
668,44.675518
669,45.384663
670,44.412415
671,45.429504
672,44.918518
673,45.52694
674,44.96815
675,45.067154
676,44.259544
677,44.713833
678,43.65808
679,43.18736
680,43.394634
681,43.29915
682,43.584007
683,43.165527
684,42.894398
685,42.962578
686,42.154724
687,41.60837
688,40.35821
689,41.08503
690,40.295998
691,40.63691
692,41.432274
693,42.47709
694,41.703285
695,41.06774
696,41.8586
697,41.678417
698,42.34872
699,40.428013
700,40.928406
701,40.042854
702,39.50679
703,39.845284
704,40.53693
705,40.21706
706,40.459618
707,39.52999
708,40.856754
709,39.12457
710,40.374027
711,39.491436
712,40.543518
713,39.71858
714,40.04677
715,40.502415
716,40.335278
717,39.17534
718,39.22057
719,38.870674
720,38.76877
721,38.682175
722,38.931805
723,38.29281
724,38.21124
725,37.526123
726,37.500206
727,37.014095
728,37.515816
729,36.401382
730,38.006073
731,37.21029
732,38.10364
733,37.47415
734,38.445053
735,38.296894
736,39.72391
737,39.467045
738,39.697186
739,39.785122
740,40.162933
741,39.662964
742,39.994904
743,39.637707
744,39.705086
745,39.602505
746,40.256874
747,39.478172
748,39.796375
749,39.517784
750,39.701794
751,39.083107
752,39.837864
753,40.003414
754,40.59784
755,40.64884
756,40.793907
757,42.04875
758,41.999973
759,41.950554
760,41.64998
761,41.45684
762,41.630688
763,41.78706
764,41.107967
765,41.64802
766,41.467342
767,41.770046
768,41.445736
769,41.75077
770,41.636314
771,41.763668
772,41.97701
773,41.796055
774,41.80349
775,41.800575
776,41.910717
777,41.84927
778,41.822838
779,41.45992
780,41.607796
781,41.623123
782,42.940674
783,42.73188
784,42.987904
785,43.09924
786,43.355904
787,43.346935
788,43.397556
789,42.84248
790,42.606556
791,42.797783
792,42.54934
793,42.703323
794,42.681786
795,43.07647
796,43.090965
797,43.173977
798,43.0494
799,43.4376
800,43.939293
801,43.693344
802,43.873363
803,43.58103
804,43.534763
805,43.46639
806,43.331406
807,43.47813
808,43.21623
809,43.904778
810,43.64907
811,43.091087
812,42.949947
813,42.304447
814,42.200558
815,42.742157
816,42.07121
817,41.93263
818,42.179066
819,42.020203
820,41.47097
821,41.58161
822,40.885185
823,40.95312
824,40.538258
825,40.98688
826,41.008034
827,41.601986
828,41.492477
829,41.856976
830,41.85567
831,41.568462
832,40.684326
833,41.178936
834,40.67238
835,40.758923
836,40.373055
837,40.224693
838,40.457214
839,40.714428
840,40.42669
841,41.039303
842,41.32448
843,41.359432
844,41.59392
845,40.36014
846,40.785225
847,40.150654
848,40.033474
849,40.47752
850,40.440125
851,41.211414
852,41.59758
853,41.426907
854,41.179657
855,41.363434
856,40.869568
857,41.101612
858,41.289124
859,41.142593
860,40.73128
861,40.462177
862,40.48671
863,40.344498
864,40.648964
865,40.614624
866,40.630535
867,40.112827
868,39.771507
869,38.86755
870,38.57974
871,38.837997
872,38.933693
873,39.1011
874,38.757767
875,38.694607
876,38.610058
877,38.74292
878,39.553623
879,39.207977
880,38.727848
881,38.179848
882,37.438103
883,37.425236
884,37.281406
885,37.01427
886,36.671707
887,36.5421
888,37.014004
889,36.07107
890,36.07758
891,36.089157
892,36.69944
893,36.23723
894,36.68731
895,36.273182
896,36.154488
897,36.136597
898,36.43896
899,36.623596
900,36.768757
901,36.756104
902,36.769115
903,37.093964
904,37.111015
905,37.24467
906,37.249516
907,37.59614
908,37.49848
909,37.457405
910,37.604507
911,38.992657
912,38.02522
913,38.48975
914,38.203835
915,38.71199
916,38.31726
917,37.92078
918,37.894516
919,37.936874
920,37.96936
921,37.721767
922,37.48797
923,36.435516
924,36.329964
925,36.726986
926,36.737877
927,36.71736
928,36.9864
929,36.933304
930,37.272766
931,37.15299
932,37.181393
933,36.98397
934,37.547882
935,37.164448
936,38.090744
937,38.05458
938,38.793674
939,38.72154
940,39.01828
941,38.786488
942,37.67785
943,38.259964
944,37.47849
945,38.543083
946,38.800133
947,39.47493
948,38.903572
949,39.042377
950,38.72557
951,38.82163
952,38.713814
953,38.856396
954,38.588795
955,38.88526
956,38.631893
957,38.372055
958,38.204414
959,38.278095
960,38.219048
961,38.331192
962,37.818092
963,37.581882
964,37.187885
965,37.136814
966,36.629627
967,36.9407
968,36.424408
969,37.00127
970,36.80938
971,36.898903
972,36.373714
973,36.849396
974,36.663876
975,37.29434
976,37.26969
977,37.46486
978,37.37553
979,37.618786
980,37.79548
981,37.75925
982,37.721615
983,37.594505
984,37.36653
985,37.510395
986,37.83738
987,38.48852
988,39.39707
989,38.935047
990,38.580627
991,38.589523
992,38.360054
993,38.486443
994,38.443745
995,38.39403
996,38.50387
997,38.415928
998,38.034348
999,37.65328
1000,37.941772
1001,37.795982
1002,37.25824
1003,37.247055
1004,36.936035
1005,36.88688
1006,35.99219
1007,35.26784
1008,36.377956
1009,37.311855
1010,36.679676
1011,36.35967
1012,36.032055
1013,36.40766
1014,36.91768
1015,36.012238
1016,36.01078
1017,35.889797
