,Googlepredicted_closing_price
0,757.87634
1,731.7699
2,712.72504
3,691.02795
4,685.9449
5,681.9757
6,685.673
7,686.0014
8,685.53815
9,691.4721
10,705.1759
11,699.93774
12,701.07227
13,705.1893
14,698.2599
15,699.332
16,704.0839
17,704.63214
18,699.49207
19,713.6935
20,716.81537
21,712.7449
22,710.7743
23,698.9515
24,695.56006
25,703.1106
26,710.3777
27,722.2376
28,727.4303
29,726.8469
30,732.39905
31,734.70135
32,735.02325
33,738.4762
34,738.2143
35,736.2505
36,733.8951
37,732.1975
38,740.3473
39,746.37103
40,743.46405
41,746.70123
42,743.8219
43,737.68286
44,742.40314
45,739.2826
46,737.92267
47,735.41785
48,740.17596
49,747.60913
50,750.1942
51,755.11005
52,761.78723
53,753.3788
54,750.884
55,755.2167
56,725.8551
57,723.4497
58,711.9761
59,708.064
60,696.68677
61,695.74786
62,699.37994
63,695.8902
64,697.3824
65,701.7027
66,709.46545
67,712.2219
68,720.1261
69,715.83167
70,713.3374
71,710.9275
72,714.53296
73,707.85956
74,706.7845
75,702.07166
76,707.9467
77,705.29456
78,716.2869
79,722.44116
80,722.8142
81,729.1488
82,732.64136
83,732.1454
84,729.2641
85,722.74176
86,717.20294
87,716.22516
88,724.71436
89,726.7973
90,720.5396
91,718.4949
92,717.9785
93,718.33563
94,712.1544
95,697.35504
96,695.61273
97,696.95233
98,698.37384
99,701.87726
100,683.5027
101,674.33716
102,680.69073
103,685.0895
104,691.67883
105,698.1701
106,696.3656
107,697.80054
108,696.26825
109,703.23926
110,711.6278
111,717.44904
112,715.9865
113,718.5772
114,718.3202
115,728.57764
116,733.1166
117,737.2794
118,736.2805
119,739.2136
120,737.624
121,736.3971
122,738.7495
123,742.41315
124,760.5575
125,767.1973
126,767.2533
127,768.9292
128,767.97723
129,776.00995
130,777.1319
131,779.4886
132,780.3296
133,780.7263
134,779.6283
135,778.92883
136,774.78394
137,776.2863
138,774.71375
139,772.9467
140,770.1603
141,769.6323
142,767.6596
143,767.15076
144,767.1455
145,769.1402
146,767.1344
147,765.213
148,766.1287
149,768.2944
150,775.3116
151,776.76324
152,773.20337
153,760.54913
154,765.3312
155,758.936
156,760.0385
157,767.32495
158,766.4804
159,763.99005
160,767.8515
161,772.1527
162,781.4255
163,782.81995
164,773.3518
165,778.45355
166,778.0413
167,773.04156
168,773.9804
169,770.48535
170,772.9321
171,773.4019
172,773.8633
173,772.59436
174,780.7665
175,779.921
176,782.2709
177,776.46014
178,775.7235
179,776.5995
180,788.6647
181,795.65045
182,793.49255
183,795.10596
184,806.0826
185,803.53784
186,796.61725
187,792.5165
188,791.7589
189,783.2165
190,781.1892
191,769.30444
192,762.2852
193,760.87915
194,776.3867
195,785.3466
196,783.0433
197,765.1396
198,755.2273
199,739.5499
200,753.4223
201,760.58813
202,767.27295
203,760.378
204,765.6728
205,765.67255
206,760.0685
207,759.50397
208,764.3109
209,767.17834
210,758.00916
211,748.7066
212,748.81036
213,757.9056
214,757.0712
215,766.2617
216,771.90295
217,782.8969
218,784.77386
219,790.4961
220,792.1484
221,793.0907
222,787.76624
223,789.59973
224,791.63385
225,790.68396
226,788.11237
227,786.7057
228,787.7807
229,782.94946
230,780.4648
231,771.5286
232,781.05835
233,783.20184
234,789.3111
235,799.86206
236,802.01373
237,801.0081
238,803.225
239,802.2461
240,803.32886
241,800.9282
242,801.78503
243,798.86884
244,800.74445
245,812.38275
246,817.93494
247,828.5644
248,827.3808
249,820.32227
250,802.45905
251,795.149
252,792.8424
253,794.782
254,797.60394
255,798.1146
256,802.7178
257,804.5157
258,805.74066
259,809.11865
260,814.00214
261,815.7217
262,814.87067
263,818.86865
264,822.55426
265,826.102
266,826.00775
267,826.5545
268,824.4694
269,824.7245
270,819.881
271,828.9265
272,826.4622
273,825.19135
274,823.89813
275,827.00793
276,830.23865
277,833.49506
278,837.7569
279,840.2836
280,840.7864
281,842.17346
282,843.63513
283,846.607
284,844.0307
285,829.24695
286,826.42017
287,816.01855
288,812.0629
289,815.415
290,817.0925
291,825.927
292,827.31506
293,826.1014
294,833.0572
295,830.6511
296,827.87036
297,824.47424
298,821.29956
299,820.82056
300,819.62445
301,820.2848
302,819.79034
303,830.7147
304,831.99304
305,833.58704
306,836.5399
307,838.1623
308,854.43634
309,864.49945
310,865.84766
311,868.36847
312,895.2546
313,903.9642
314,909.3731
315,919.2703
316,924.33026
317,921.31396
318,927.47943
319,926.0805
320,923.4871
321,924.89856
322,926.4724
323,931.1024
324,936.90186
325,917.45074
326,925.21985
327,928.2181
328,935.9059
329,942.89075
330,949.264
331,962.9439
332,965.85785
333,970.6226
334,961.07947
335,962.4217
336,969.60016
337,977.5227
338,972.21967
339,976.3059
340,978.3976
341,948.99335
342,940.97705
343,948.00916
344,946.1824
345,939.3717
346,936.6405
347,951.544
348,946.65546
349,954.88776
350,952.9525
351,960.6694
352,949.17365
353,926.86584
354,935.73566
355,915.7429
356,906.92816
357,896.7009
358,906.6229
359,903.07715
360,913.53326
361,923.1271
362,925.51184
363,937.919
364,941.7081
365,950.1869
366,948.52435
367,959.258
368,964.6695
369,963.1926
370,967.573
371,974.3482
372,948.7894
373,944.8325
374,931.1312
375,936.6349
376,927.09973
377,927.1955
378,926.4743
379,920.6935
380,923.8952
381,925.0836
382,923.11273
383,919.5584
384,905.58496
385,910.1282
386,917.04126
387,917.6346
388,922.134
389,908.7242
390,907.2792
391,902.96185
392,918.00635
393,921.3141
394,917.4734
395,912.50995
396,909.9142
397,915.8086
398,923.44226
399,932.97296
400,932.437
401,925.0512
402,923.64154
403,930.12823
404,922.4955
405,924.4729
406,926.8825
407,929.9066
408,921.6878
409,916.94214
410,911.51605
411,916.70526
412,925.49646
413,927.41394
414,924.6233
415,917.8092
416,920.27997
417,937.2075
418,943.2348
419,953.0926
420,948.85657
421,952.8623
422,947.3368
423,963.2712
424,972.0679
425,971.9844
426,968.4969
427,983.0413
428,982.3925
429,984.97455
430,987.0915
431,987.5141
432,988.24396
433,980.8054
434,983.8466
435,965.95294
436,967.0319
437,968.6448
438,968.4022
439,1010.9214
440,1011.1518
441,1013.51886
442,1021.1423
443,1021.23224
444,1027.8754
445,1021.8864
446,1028.9531
447,1034.7772
448,1027.6322
449,1024.9042
450,1022.1458
451,1022.2094
452,1017.5047
453,1028.1724
454,1015.99817
455,1015.75287
456,1029.6797
457,1031.6049
458,1037.0208
459,1049.806
460,1044.0037
461,1020.8239
462,1019.13776
463,1007.15137
464,996.4517
465,1001.3583
466,1013.33575
467,1026.0295
468,1033.038
469,1037.6982
470,1037.3752
471,1037.4501
472,1045.0906
473,1059.2308
474,1072.2234
475,1067.27
476,1062.5635
477,1060.5327
478,1056.7823
479,1053.5231
480,1046.4779
481,1045.1467
482,1043.1825
483,1060.6774
484,1077.496
485,1082.7941
486,1098.9622
487,1103.371
488,1103.617
489,1100.0087
490,1102.5208
491,1118.1798
492,1117.7902
493,1129.0631
494,1126.4869
495,1134.8884
496,1152.0494
497,1166.0563
498,1161.3059
499,1168.3866
500,1172.519
501,1172.6013
502,1161.2059
503,1167.7148
504,1164.209
505,1111.3291
506,1059.1818
507,1078.1505
508,1045.4061
509,1004.48755
510,1034.6975
511,1046.7611
512,1050.1329
513,1067.5354
514,1086.2993
515,1092.2323
516,1100.3438
517,1108.4929
518,1103.9927
519,1123.6621
520,1139.0713
521,1115.7721
522,1104.2152
523,1068.5624
524,1076.646
525,1085.8201
526,1091.331
527,1106.4524
528,1122.559
529,1156.5013
530,1160.792
531,1137.4662
532,1148.5029
533,1145.5225
534,1133.3639
535,1098.9962
536,1096.514
537,1087.6013
538,1048.9926
539,1022.89056
540,1049.203
541,1004.5281
542,1005.0899
543,1027.1556
544,1005.203
545,1012.3223
546,1021.56586
547,1024.7697
548,1006.2906
549,1013.0978
550,1026.7358
551,1017.00476
552,1029.0804
553,1025.5895
554,1034.3077
555,1067.9874
556,1067.2037
557,1084.3743
558,1069.8678
559,1065.5219
560,1019.8815
561,1019.44147
562,1033.9688
563,1026.0444
564,1015.7194
565,1033.3203
566,1021.34656
567,1021.6957
568,1043.3627
569,1050.1208
570,1050.99
571,1078.2904
572,1092.3546
573,1094.9478
574,1097.3707
575,1077.1102
576,1079.346
577,1074.66
578,1063.67
579,1075.963
580,1066.2345
581,1076.8549
582,1075.7888
583,1073.3547
584,1058.7281
585,1065.3108
586,1080.5427
587,1114.3936
588,1134.5292
589,1137.0674
590,1135.2218
591,1121.9915
592,1118.698
593,1126.2888
594,1135.1925
595,1131.588
596,1149.3999
597,1148.5809
598,1170.9689
599,1164.3721
600,1168.2903
601,1155.0862
602,1153.701
603,1122.798
604,1117.6239
605,1101.4652
606,1111.8097
607,1112.3036
608,1125.1248
609,1101.4623
610,1123.3405
611,1136.0696
612,1151.3201
613,1150.4869
614,1152.4209
615,1180.6863
616,1184.518
617,1181.9015
618,1196.4792
619,1192.0754
620,1184.8082
621,1182.4521
622,1202.2323
623,1243.595
624,1258.2344
625,1265.4828
626,1235.2153
627,1218.8236
628,1213.832
629,1215.8196
630,1222.1215
631,1220.085
632,1222.25
633,1239.3278
634,1241.588
635,1246.5812
636,1234.43
637,1233.0256
638,1238.6981
639,1210.7238
640,1205.7069
641,1197.7991
642,1205.2224
643,1198.4196
644,1205.6741
645,1202.6615
646,1218.8547
647,1238.437
648,1227.7874
649,1248.3375
650,1234.5676
651,1216.8145
652,1195.214
653,1184.5417
654,1168.8441
655,1162.9669
656,1162.3087
657,1174.9856
658,1160.5781
659,1174.8441
660,1169.8761
661,1155.3898
662,1160.2688
663,1168.3175
664,1184.1675
665,1163.7688
666,1173.1207
667,1181.4082
668,1177.9077
669,1192.7385
670,1190.2001
671,1193.5072
672,1197.4646
673,1200.2142
674,1166.1584
675,1157.3718
676,1146.3307
677,1136.7866
678,1081.6793
679,1080.0596
680,1105.4952
681,1089.3672
682,1120.0677
683,1112.8054
684,1088.9921
685,1095.9258
686,1098.1143
687,1101.2872
688,1051.5167
689,1093.6549
690,1067.1438
691,1023.1725
692,1034.7013
693,1070.1638
694,1065.915
695,1057.3842
696,1039.8838
697,1053.117
698,1087.5006
699,1078.5358
700,1065.811
701,1038.608
702,1034.3734
703,1039.4833
704,1059.5393
705,1057.7053
706,1020.8493
707,1024.6125
708,1032.9395
709,1021.2061
710,1044.5636
711,1040.463
712,1081.4506
713,1083.2812
714,1092.1132
715,1102.9049
716,1050.6077
717,1067.2972
718,1033.345
719,1037.3185
720,1046.709
721,1059.0809
722,1058.7006
723,1041.1549
724,1016.8562
725,1025.802
726,1019.3679
727,1007.7543
728,979.9671
729,974.8934
730,1030.8306
731,1037.3334
732,1035.3782
733,1033.6844
734,1042.2675
735,1014.5203
736,1064.8866
737,1061.7603
738,1073.2611
739,1071.1223
740,1067.5948
741,1054.7511
742,1042.5361
743,1071.8872
744,1075.3563
745,1086.5481
746,1094.6248
747,1069.0154
748,1073.9401
749,1070.1294
750,1086.9768
751,1067.1859
752,1059.6421
753,1084.7283
754,1110.6213
755,1107.3363
756,1130.5231
757,1141.9174
758,1113.579
759,1098.6737
760,1092.4299
761,1091.5371
762,1116.911
763,1115.9133
764,1119.8319
765,1111.6552
766,1116.5889
767,1111.0618
768,1095.5187
769,1107.978
770,1105.7753
771,1112.6832
772,1113.3026
773,1117.5939
774,1137.8215
775,1144.2225
776,1159.5504
777,1155.0175
778,1141.9818
779,1140.5117
780,1171.9606
781,1188.0099
782,1190.472
783,1183.6959
784,1182.5359
785,1181.358
786,1195.724
787,1219.8768
788,1227.3163
789,1203.0947
790,1192.416
791,1181.9009
792,1170.4132
793,1166.0795
794,1170.5221
795,1191.3264
796,1197.0333
797,1204.1522
798,1212.7887
799,1204.647
800,1202.3083
801,1194.7157
802,1199.7881
803,1201.2858
804,1215.1053
805,1217.5841
806,1224.7643
807,1233.3253
808,1233.1355
809,1246.187
810,1260.4633
811,1251.7295
812,1261.1061
813,1267.5211
814,1283.3607
815,1184.0806
816,1172.5281
817,1157.7625
818,1181.817
819,1184.7721
820,1172.9725
821,1166.1688
822,1161.3374
823,1162.7917
824,1131.106
825,1121.1229
826,1161.1663
827,1174.0193
828,1161.2413
829,1139.548
830,1148.8009
831,1148.1372
832,1138.9988
833,1132.2023
834,1132.2518
835,1114.7891
836,1116.7745
837,1101.6632
838,1039.0034
839,1052.7789
840,1038.7329
841,1042.5055
842,1062.3604
843,1076.8064
844,1076.8564
845,1075.9021
846,1086.3568
847,1082.6156
848,1089.9807
849,1099.9763
850,1099.213
851,1108.5858
852,1118.2437
853,1112.6617
854,1085.5382
855,1078.6965
856,1072.9413
857,1077.5499
858,1093.8352
859,1107.2987
860,1118.5531
861,1128.889
862,1114.4797
863,1123.253
864,1136.5463
865,1140.6495
866,1142.3162
867,1147.6582
868,1150.5826
869,1143.8197
870,1144.1584
871,1127.7571
872,1136.0538
873,1142.456
874,1135.2677
875,1130.6304
876,1247.527
877,1228.6049
878,1227.7301
879,1214.6239
880,1206.6874
881,1190.6351
882,1150.3215
883,1168.2252
884,1168.5154
885,1201.8901
886,1183.886
887,1175.15
888,1195.379
889,1161.0197
890,1167.6259
891,1173.994
892,1195.4156
893,1179.5161
894,1190.7921
895,1186.4221
896,1150.3485
897,1168.4324
898,1163.381
899,1169.1411
900,1190.0408
901,1184.9065
902,1167.7172
903,1180.2749
904,1207.4982
905,1200.9097
906,1203.3704
907,1203.4419
908,1217.4937
909,1230.418
910,1236.0817
911,1228.349
912,1226.8909
913,1229.0906
914,1235.1006
915,1226.2125
916,1231.6644
917,1215.0736
918,1244.7799
919,1235.5884
920,1223.5427
921,1216.9886
922,1202.4297
923,1175.0254
924,1186.4663
925,1204.7665
926,1204.3162
927,1188.0447
928,1201.6
929,1205.2384
930,1213.2334
931,1214.5251
932,1240.8276
933,1239.1542
934,1251.1857
935,1241.5845
936,1243.9199
937,1238.9105
938,1255.984
939,1255.8298
940,1261.9574
941,1286.1316
942,1256.5657
943,1260.5057
944,1255.0797
945,1270.1252
946,1286.0575
947,1286.8827
948,1288.0228
949,1304.6519
950,1305.0137
951,1294.2856
952,1294.6268
953,1292.3368
954,1306.4729
955,1328.4742
956,1312.9816
957,1311.8153
958,1296.8604
959,1296.8485
960,1289.2585
961,1302.1345
962,1307.06
963,1307.695
