,Microsoftpredicted_closing_price
0,53.09197
1,52.28955
2,51.984947
3,50.649178
4,49.82858
5,49.520084
6,49.71465
7,49.72707
8,50.267212
9,50.78098
10,51.80849
11,51.890823
12,51.67579
13,52.20156
14,51.316578
15,51.255184
16,51.737038
17,51.303493
18,50.929844
19,52.000805
20,52.494686
21,52.21759
22,51.94838
23,51.200527
24,51.450947
25,52.312687
26,51.972137
27,52.61413
28,52.823063
29,53.176754
30,53.79155
31,54.158504
32,53.452793
33,53.570435
34,53.73539
35,53.714054
36,53.886242
37,53.465588
38,54.191048
39,54.581814
40,54.81392
41,55.11558
42,55.095264
43,54.50006
44,54.766018
45,54.35677
46,54.250423
47,54.142975
48,54.353264
49,54.88304
50,55.009853
51,55.252544
52,55.87577
53,55.970722
54,55.453518
55,55.48352
56,52.711525
57,52.329815
58,51.71904
59,51.22072
60,50.36896
61,50.12067
62,50.52728
63,50.02903
64,49.958313
65,49.9602
66,50.24771
67,50.08335
68,50.685493
69,50.835976
70,51.191784
71,50.98245
72,51.455242
73,50.662582
74,50.696796
75,50.359814
76,50.487976
77,50.110645
78,51.08675
79,51.66825
80,51.66244
81,51.96964
82,52.5118
83,52.545033
84,52.31822
85,51.803097
86,51.922504
87,51.925198
88,51.891308
89,51.59804
90,51.43509
91,50.476677
92,50.03798
93,49.817314
94,50.225018
95,50.129704
96,50.063145
97,50.799206
98,50.825916
99,51.47005
100,50.199802
101,48.969288
102,49.33881
103,50.150574
104,50.771965
105,50.919914
106,50.970486
107,51.129467
108,51.1708
109,51.818615
110,52.17374
111,52.701984
112,53.0452
113,53.303555
114,53.353706
115,53.56352
116,53.023354
117,54.875286
118,55.20674
119,55.874302
120,56.15228
121,56.26609
122,55.91545
123,55.874123
124,56.200184
125,56.211346
126,56.232487
127,56.518814
128,56.882202
129,57.374584
130,57.56494
131,57.724552
132,57.64391
133,57.83786
134,57.629753
135,57.726753
136,57.2674
137,57.263706
138,57.280853
139,57.299976
140,57.339672
141,57.502922
142,57.5797
143,57.7553
144,57.695324
145,57.73826
146,57.598473
147,57.268997
148,57.28877
149,57.34024
150,57.308926
151,57.337864
152,57.179512
153,56.288643
154,56.68318
155,56.374195
156,56.12649
157,56.712597
158,56.867386
159,56.68711
160,56.56567
161,57.201405
162,57.373978
163,57.15422
164,56.74181
165,57.39025
166,57.57407
167,57.189644
168,57.25751
169,57.13636
170,56.988552
171,57.236996
172,57.356125
173,57.430794
174,57.619446
175,57.062748
176,56.896404
177,56.712597
178,57.0208
179,56.938557
180,57.237747
181,57.20468
182,57.00802
183,58.6693
184,59.964275
185,60.27485
186,60.12931
187,59.74418
188,59.51319
189,59.504665
190,59.4225
191,59.151302
192,58.943058
193,58.540382
194,59.668743
195,59.92009
196,59.791656
197,58.72776
198,58.735542
199,58.067204
200,58.4606
201,59.07178
202,59.91005
203,59.887615
204,60.273277
205,60.537567
206,60.093166
207,60.11254
208,60.1656
209,60.526775
210,60.01189
211,59.169964
212,59.021126
213,59.65578
214,59.585533
215,60.60338
216,60.543293
217,61.253357
218,61.536476
219,62.2052
220,62.135147
221,62.08253
222,61.877953
223,62.800888
224,62.922634
225,62.98839
226,63.020206
227,62.81252
228,62.810974
229,62.59989
230,62.49976
231,61.927704
232,62.13285
233,61.949753
234,61.920185
235,62.294262
236,62.21777
237,62.199116
238,62.60217
239,62.25878
240,62.27221
241,62.139652
242,62.093792
243,61.93611
244,62.2212
245,62.428787
246,62.883465
247,63.093445
248,63.579426
249,64.78259
250,64.55501
251,64.21713
252,63.37589
253,62.918182
254,63.17766
255,63.185825
256,63.04579
257,62.95256
258,63.449593
259,63.494167
260,64.042885
261,64.03663
262,64.028046
263,64.020615
264,64.09509
265,64.01763
266,63.914818
267,64.08476
268,64.11489
269,63.844975
270,63.615093
271,64.26133
272,63.696644
273,63.790485
274,63.799892
275,63.89995
276,64.34807
277,64.24518
278,64.389305
279,64.25223
280,64.01583
281,64.21601
282,64.16578
283,64.333145
284,64.40648
285,63.902794
286,64.40988
287,64.36852
288,64.46172
289,64.56477
290,64.72711
291,64.89384
292,65.10812
293,65.266014
294,65.079285
295,65.186584
296,65.07788
297,65.19047
298,65.172844
299,65.06679
300,65.011795
301,64.81604
302,64.57426
303,64.90921
304,64.89475
305,64.64843
306,64.93681
307,65.638374
308,66.608604
309,67.099335
310,67.16278
311,67.52572
312,67.74159
313,68.51114
314,68.58238
315,68.47633
316,68.271416
317,68.38403
318,68.35983
319,68.44315
320,68.66301
321,68.077225
322,67.93034
323,67.918434
324,68.64008
325,67.33202
326,67.30628
327,67.22805
328,67.77535
329,68.034225
330,68.16573
331,68.82846
332,69.2001
333,69.630135
334,69.29631
335,69.45917
336,70.72195
337,71.33794
338,71.68601
339,71.680756
340,71.37514
341,70.11305
342,69.49927
343,69.9982
344,69.77479
345,69.4845
346,69.496544
347,70.13265
348,69.51684
349,69.7082
350,69.700096
351,70.41764
352,70.02416
353,69.00575
354,69.25538
355,68.27708
356,68.44878
357,67.86675
358,68.4459
359,68.134186
360,68.76173
361,69.23584
362,69.34747
363,70.25248
364,70.87384
365,71.78242
366,72.3948
367,72.50693
368,72.99022
369,73.35839
370,73.12767
371,72.97986
372,73.40678
373,73.37162
374,72.722015
375,72.53515
376,72.22231
377,72.077705
