,predicted_closing_price
0,2893.654
1,2917.5425
2,2927.1775
3,2963.95
4,2954.8872
5,2990.0327
6,2974.8848
7,2992.1472
8,2973.0676
9,2999.7026
10,2981.1738
11,2998.4146
12,2995.9358
13,3012.8457
14,3024.5154
15,3023.963
16,3034.1355
17,3023.0256
18,3054.4236
19,3057.5798
20,3060.7363
21,3060.1863
22,3068.7146
23,3074.5293
24,3069.7397
25,3075.4858
26,3075.3484
27,3079.4182
28,3100.708
29,3099.5588
30,3101.8523
31,3088.4817
32,3086.6782
33,3090.535
34,3112.7686
35,3116.4087
36,3132.1223
37,3116.3381
38,3096.655
39,3076.0703
40,3095.1626
41,3094.361
42,3126.7556
43,3109.9756
44,3116.0967
45,3117.3352
46,3145.155
47,3140.0623
48,3167.6697
49,3160.086
50,3166.344
51,3174.445
52,3189.7732
53,3190.5166
54,3192.3174
55,3206.1438
56,3203.938
57,3189.8433
58,3199.6858
59,3220.2766
60,3198.266
61,3216.5027
62,3198.2998
63,3222.2473
64,3232.07
65,3228.105
66,3249.706
67,3239.0352
68,3251.7388
69,3270.201
70,3281.6013
71,3273.7405
72,3277.2012
73,3277.291
74,3251.451
75,3209.5198
76,3242.0063
77,3226.7905
78,3249.7422
79,3185.9153
80,3225.6863
81,3247.6348
82,3290.9995
83,3292.0906
84,3282.7356
85,3303.2498
86,3301.7595
87,3326.969
88,3314.0444
89,3328.3293
90,3311.1365
91,3333.7393
92,3311.9233
93,3291.521
94,3188.9875
95,3117.0483
96,3097.2822
97,2970.2822
98,2962.6592
99,3070.723
100,2982.8154
101,3135.5396
102,2984.7087
103,2995.0862
104,2748.6448
105,2898.128
106,2720.5984
107,2540.0059
108,2703.6208
109,2407.4517
110,2550.5574
111,2396.8284
112,2432.653
113,2317.7402
114,2263.7866
115,2434.1433
116,2459.2917
117,2627.421
118,2524.526
119,2632.715
120,2564.5303
121,2487.3308
122,2521.7058
123,2484.3296
124,2659.1858
125,2637.7766
126,2755.4778
127,2767.6245
128,2762.0261
129,2837.497
130,2770.4756
131,2805.4573
132,2858.7766
133,2816.5664
134,2746.0159
135,2798.0625
136,2786.5369
137,2838.5354
138,2867.6091
139,2859.969
140,2934.6199
141,2896.4363
142,2838.3855
143,2841.6296
144,2860.159
145,2844.9697
146,2880.267
147,2919.204
148,2922.2705
149,2869.1855
150,2824.7556
151,2849.612
152,2855.71
153,2949.5583
154,2906.966
155,2975.056
156,2928.855
157,2957.5461
158,2974.614
159,3024.444
160,3011.707
161,3035.7048
162,3036.487
163,3066.1914
164,3099.6057
165,3089.9854
166,3172.9722
167,3188.7302
168,3179.831
169,3161.8354
170,2991.2566
171,3044.6296
172,3032.8286
173,3114.5725
174,3083.157
175,3107.3867
176,3073.2458
177,3105.178
178,3103.6946
179,3038.115
180,3075.3599
181,2988.576
182,3053.8206
183,3069.8784
184,3101.9048
185,3106.733
186,3157.8171
187,3114.1914
188,3154.882
189,3117.933
190,3167.4888
191,3119.9075
192,3181.2986
193,3183.1235
194,3189.398
195,3191.4395
196,3217.6428
197,3217.247
198,3239.9807
199,3195.923
200,3191.0234
201,3202.8516
202,3184.4194
203,3227.7283
204,3203.1597
205,3241.6257
206,3246.3735
207,3266.5615
208,3279.0889
209,3299.8347
210,3297.8289
211,3310.0417
212,3280.8174
213,3332.5852
214,3307.169
215,3326.3503
216,3320.1438
217,3335.2007
218,3315.1025
219,3333.311
220,3333.9407
221,3370.3052
222,3370.863
223,3410.0095
224,3401.8257
225,3433.329
226,3412.8518
227,3449.2554
228,3479.738
229,3371.6787
230,3377.693
231,3266.4128
232,3360.6082
233,3262.3887
234,3315.774
235,3313.2444
236,3350.0808
237,3321.283
238,3310.8354
239,3269.659
240,3244.044
241,3272.5984
242,3193.9438
243,3225.802
244,3248.7126
245,3306.2854
246,3279.854
247,3321.2031
248,3316.871
249,3299.7776
250,3353.4307
251,3294.7231
252,3374.1646
253,3362.3948
254,3414.9407
255,3442.2305
256,3427.6753
257,3412.4016
258,3406.2827
259,3406.1968
260,3356.2717
261,3383.2905
262,3359.4392
263,3391.5679
264,3386.5935
265,3340.0466
266,3337.684
267,3222.5164
268,3283.4722
269,3211.5125
270,3285.5945
271,3303.338
